Participant,Round,Condition,CompletionTime_s,CompletionTime_from_timestamps_s,Matches,Mismatches,Rechecks,CardFlips,AvgThinkingTime_s,MedianThinkingTime_s,MaxThinkingTime_s,DistractorOnEvents,DistractorOffEvents,MentalDemand,PhysicalDemand,TemporalDemand,PerformanceSatisfaction,Effort,Frustration,ConditionNumber,Visual,Audio,Workload_mean_without_Q4,NASA_TLX_simple_mean_all_Qs
P06,2,C2_VisualPredictable_AudioOff,57.52,57.523,8,11,22,38,4.9418421052631585,1.335,136.32,1,2,44,20,74,83,35,36,2,Predictable,Off,41.8,48.666666666666664
P06,3,C3_VisualUnpredictable_AudioOff,38.91,38.907,8,8,16,32,3.8649999999999993,1.16,87.17,1,2,29,19,66,85,20,15,3,Unpredictable,Off,29.8,39.0
P06,4,C4_VisualOff_AudioPredictable,53.52,53.522,8,13,26,42,2.7485714285714287,1.2850000000000001,64.6,1,3,60,20,75,64,65,40,4,Off,Predictable,52.0,54.0
P06,5,C5_VisualPredictable_AudioPredictable,40.32,40.32,8,9,18,34,2.690588235294118,1.205,54.16,2,2,50,20,65,70,40,40,5,Predictable,Predictable,43.0,47.5
P06,6,C6_VisualUnpredictable_AudioPredictable,51.19,51.19,8,14,28,44,2.4145454545454546,1.16,57.4,2,2,58,21,70,50,45,45,6,Unpredictable,Predictable,47.8,48.166666666666664
P06,7,C7_VisualOff_AudioUnpredictable,36.48,36.476,8,8,16,32,2.5659375000000004,1.145,47.74,1,4,35,20,55,75,35,31,7,Off,Unpredictable,35.2,41.833333333333336
P06,8,C8_VisualPredictable_AudioUnpredictable,37.32,37.317,8,8,16,32,2.9796875,1.15,60.53,2,3,40,20,65,75,25,30,8,Predictable,Unpredictable,36.0,42.5
P06,9,C9_VisualUnpredictable_AudioUnpredictable,39.6,39.604,8,8,16,32,3.0512499999999996,1.17,60.78,2,4,45,20,75,72,35,45,9,Unpredictable,Unpredictable,44.0,48.666666666666664
P07,1,C1_VisualOff_AudioOff,71.1,71.099,8,9,18,34,1.7148484848484848,1.44,7.04,0,3,15,5,0,95,12,0,1,Off,Off,6.4,21.166666666666668
P07,2,C2_VisualPredictable_AudioOff,82.26,82.262,8,17,34,50,3.8498,1.375,118.52,1,2,20,10,2,95,22,90,2,Predictable,Off,28.8,39.833333333333336
P07,3,C3_VisualUnpredictable_AudioOff,59.93,59.931,8,12,24,40,4.29925,1.385,118.42,1,2,20,10,2,95,14,95,3,Unpredictable,Off,28.2,39.333333333333336
P07,4,C4_VisualOff_AudioPredictable,41.62,41.625,8,9,18,34,3.0976470588235294,1.27,66.45,1,3,10,10,2,97,10,92,4,Off,Predictable,24.8,36.833333333333336
P07,5,C5_VisualPredictable_AudioPredictable,41.69,41.692,8,8,16,32,3.190625,1.295,63.13,2,2,10,10,2,97,10,90,5,Predictable,Predictable,24.4,36.5
P07,6,C6_VisualUnpredictable_AudioPredictable,59.13,59.128,8,14,28,44,2.953181818181818,1.3,73.72,2,2,11,10,3,89,19,90,6,Unpredictable,Predictable,26.6,37.0
P07,7,C7_VisualOff_AudioUnpredictable,43.33,43.33,8,10,20,36,2.761666666666667,1.17,58.92,1,4,10,10,1,96,15,92,7,Off,Unpredictable,25.6,37.333333333333336
P07,8,C8_VisualPredictable_AudioUnpredictable,40.64,40.636,8,9,18,34,2.9373529411764703,1.18,62.41,2,3,10,10,0,97,10,97,8,Predictable,Unpredictable,25.4,37.333333333333336
P07,9,C9_VisualUnpredictable_AudioUnpredictable,35.77,35.771,8,7,14,30,3.151666666666667,1.1549999999999998,62.63,2,7,10,10,0,97,10,97,9,Unpredictable,Unpredictable,25.4,37.333333333333336
P08,1,C1_VisualOff_AudioOff,48.62,48.622,8,5,10,26,1.7575999999999998,1.62,3.56,0,3,68,17,50,72,50,30,1,Off,Off,43.0,47.833333333333336
P08,2,C2_VisualPredictable_AudioOff,43.31,43.308,8,6,12,28,3.7107142857142854,1.38,63.99,1,2,65,17,62,69,67,41,2,Predictable,Off,50.4,53.5
P08,3,C3_VisualUnpredictable_AudioOff,48.77,48.775,8,7,14,30,3.1326666666666667,1.4249999999999998,48.83,1,2,77,30,63,50,72,50,3,Unpredictable,Off,58.4,57.0
P08,4,C4_VisualOff_AudioPredictable,44.16,44.159,8,7,14,30,2.8970000000000002,1.375,46.0,1,3,71,30,69,61,61,50,4,Off,Predictable,56.2,57.0
P08,5,C5_VisualPredictable_AudioPredictable,49.63,49.634,8,9,18,34,2.6714705882352945,1.435,43.88,2,2,72,23,67,50,58,39,5,Predictable,Predictable,51.8,51.5
P08,6,C6_VisualUnpredictable_AudioPredictable,35.79,35.788,8,4,8,24,2.9125,1.34,37.39,2,2,50,25,67,69,64,42,6,Unpredictable,Predictable,49.6,52.833333333333336
P08,7,C7_VisualOff_AudioUnpredictable,33.91,33.906,8,5,10,26,2.5626923076923074,1.2650000000000001,35.11,1,4,50,19,57,69,50,31,7,Off,Unpredictable,41.4,46.0
P08,8,C8_VisualPredictable_AudioUnpredictable,34.24,34.238,8,4,8,24,2.5995833333333334,1.3250000000000002,30.61,2,3,58,19,50,69,44,34,8,Predictable,Unpredictable,41.0,45.666666666666664
P08,9,C9_VisualUnpredictable_AudioUnpredictable,38.33,38.33,8,6,12,28,2.6482142857142854,1.25,38.64,2,7,60,20,59,50,57,41,9,Unpredictable,Unpredictable,47.4,47.833333333333336
