participant,xdf_file,round_index,condition,condition_group,predictability,start_xdf_time,end_xdf_time,duration_sec,marker_stream,eda_stream,hr_stream,eda_n_samples,eda_mean,eda_median,eda_sd,eda_min,eda_max,eda_range,eda_start,eda_end,eda_change,eda_slope,eda_baseline_n_samples,eda_local_baseline,delta_eda_local,hr_n_samples,hr_mean,hr_median,hr_sd,hr_min,hr_max,hr_range,hr_start,hr_end,hr_change,hr_slope,hr_baseline_n_samples,hr_local_baseline,delta_hr_local
P05,labrecorder_P05.xdf,4,C4_Audio_Predictable,Audio only,Predictable,97907.56190088965,97965.65833122224,58.09643033258908,Triggers,EDA,HR,870.0,3.8243241258051204,3.825255036354065,0.13752107235110742,3.5548479557037354,4.093628883361816,0.538780927658081,3.603005886077881,3.5566680431365967,-0.04633784294128418,-0.0067930591768202726,224.0,3.676389316362994,0.14793480944212645,94.0,101.23404255319149,101.0,6.29289671561822,84.0,122.0,38.0,84.0,94.0,10.0,-0.11366394978052201,20.0,97.95,3.284042553191483
P05,labrecorder_P05.xdf,5,C5_VisualPredictable_AudioPredictable,Combined visual + audio,Predictable,98006.50211721544,98051.21656561748,44.714448402039125,Triggers,EDA,HR,669.0,4.138871317665317,4.142673015594482,0.33654714616937803,3.9989280700683594,12.639348983764648,8.640420913696289,4.081549167633057,4.022185802459717,-0.059363365173339844,-0.004380050155891182,225.0,4.088034140268961,0.05083717739635585,62.0,99.45161290322581,100.0,9.498364689888774,66.0,115.0,49.0,108.0,93.0,-15.0,-0.23010793134489724,18.0,109.83333333333333,-10.38172043010752
P05,labrecorder_P05.xdf,6,C6_VisualUnpredictable_AudioPredictable,Combined visual + audio,Mixed,98086.17071049723,98155.60385635568,69.43314585844928,Triggers,EDA,HR,1039.0,3.9515648767050924,3.9531939029693604,0.06911905129387107,3.582469940185547,4.1501359939575195,0.5676660537719727,4.1501359939575195,3.81154203414917,-0.3385939598083496,-0.0010478441738484886,225.0,3.945452234480116,0.006112642224976206,118.0,104.55932203389831,105.0,4.781628612304189,96.0,116.0,20.0,112.0,114.0,2.0,-0.010597178338732739,24.0,101.75,2.8093220338983116
P05,labrecorder_P05.xdf,7,C7_Audio_Unpredictable,Audio only,Unpredictable,98207.26990337358,98238.24780994428,30.977906570697087,Triggers,EDA,HR,463.0,4.107792708065288,4.069540977478027,0.07887964127869257,4.003554821014404,4.270620822906494,0.26706600189208984,4.177738189697266,4.145145893096924,-0.0325922966003418,0.0008908060596687728,225.0,3.899049217436049,0.20874349062923914,46.0,101.34782608695652,103.5,6.989571251528469,83.0,112.0,29.0,94.0,101.0,7.0,-0.13930590541160834,23.0,133.30434782608697,-31.95652173913045
P05,labrecorder_P05.xdf,8,C8_VisualPredictable_AudioUnpredictable,Combined visual + audio,Mixed,98303.38483599291,98346.5006081913,43.115772198390914,Triggers,EDA,HR,645.0,4.280928749261901,4.297156810760498,0.11059455305777573,4.069540977478027,4.492605209350586,0.4230642318725586,4.440674781799316,4.076724052429199,-0.3639507293701172,-0.00881197211583613,225.0,4.411905790964762,-0.13097704170286129,68.0,98.19117647058823,100.0,10.166167702700863,55.0,111.0,56.0,55.0,111.0,56.0,0.18296808049168545,9.0,91.66666666666667,6.5245098039215605
P05,labrecorder_P05.xdf,9,C9_VisualUnpredictable_AudioUnpredictable,Combined visual + audio,Unpredictable,98382.01577307236,98423.38876136676,41.3729882944026,Triggers,EDA,HR,619.0,4.069439500907318,4.083950042724609,0.08667520718956291,3.9107110500335693,4.257474899291992,0.34676384925842285,3.9554460048675537,4.04099178314209,0.08554577827453613,0.003313483034087255,224.0,3.961980033133711,0.10745946777360738,71.0,130.67605633802816,120.0,30.1267677123979,102.0,246.0,144.0,102.0,110.0,8.0,0.21025144772451299,24.0,113.66666666666667,17.00938967136149
P06,labrecorder_P06.xdf,1,C1_No_Distraction,No distraction,None,99473.01952320569,99510.99876569826,37.97924249256903,Triggers,EDA,HR,568.0,0.5614589768606173,0.560680478811264,0.006547628814307858,0.5488860011100769,0.5882019996643066,0.039315998554229736,0.5682839751243591,0.5500209927558899,-0.01826298236846924,-0.00041893081034168885,225.0,0.5620904686715867,-0.0006314918109694423,52.0,86.36538461538461,85.0,4.789812907860567,80.0,102.0,22.0,99.0,95.0,-4.0,0.006559027278594801,22.0,89.04545454545455,-2.6800699300699335
P06,labrecorder_P06.xdf,2,C2_Visual_Predictable,Visual only,Predictable,99641.2693023727,99698.79150896144,57.52220658873557,Triggers,EDA,HR,861.0,0.5522320352226461,0.5536320209503174,0.022536696869899134,0.4066289961338043,0.6479529738426208,0.24132397770881653,0.5799130201339722,0.436924010515213,-0.14298900961875916,-0.0009662504516438879,224.0,0.5578941394175801,-0.00566210419493407,77.0,83.92207792207792,83.0,5.931109405779154,76.0,106.0,30.0,82.0,78.0,-4.0,-0.019678492280379337,20.0,82.2,1.722077922077915
P06,labrecorder_P06.xdf,3,C3_Visual_Unpredictable,Visual only,Unpredictable,99783.58939344481,99822.49527813718,38.90588469237264,Triggers,EDA,HR,583.0,0.5547856485046203,0.5557680130004883,0.006961547622273819,0.5268849730491638,0.5680040121078491,0.0411190390586853,0.543192982673645,0.5609989762306213,0.01780599355697632,0.0005196806673388098,224.0,0.5276261848796692,0.02715946362495114,55.0,85.54545454545455,85.0,5.442691946352983,74.0,99.0,25.0,76.0,80.0,4.0,-0.15078914686668723,19.0,78.94736842105263,6.598086124401917
P06,labrecorder_P06.xdf,4,C4_Audio_Predictable,Audio only,Predictable,99884.44520132506,99937.96672111456,53.521519789501326,Triggers,EDA,HR,801.0,0.585618684131108,0.5883010029792786,0.009985847296551546,0.5605440139770508,0.6159740090370178,0.05542999505996704,0.597091019153595,0.5648019909858704,-0.03228902816772461,-0.0005162950775026693,224.0,0.5839746160698789,0.001644068061229076,71.0,82.46478873239437,82.0,3.116000118813005,77.0,91.0,14.0,87.0,80.0,-7.0,-0.12212003750635504,20.0,82.6,-0.13521126760562652
